student_id,session_date,session_number,problem,operation,correct_answer,user_answer,is_correct,attempts_needed,time_spent_seconds,difficulty_level,error_type
1,2024-01-06,1,48 ÷ 6,Division,8,8,True,1,11,Easy,
1,2024-01-06,1,9 × 6,Multiplication,54,53,False,4,53,Hard,calculation_error
1,2024-01-06,1,21 ÷ 7,Division,3,3,True,1,13,Easy,
1,2024-01-06,1,12 + 10,Addition,22,22,True,1,10,Medium,
1,2024-01-06,1,1 + 11,Addition,12,12,True,1,7,Easy,
1,2024-01-06,1,20 ÷ 4,Division,5,5,True,1,9,Easy,
1,2024-01-06,1,6 × 4,Multiplication,24,29,False,2,20,Medium,off_by_five
1,2024-01-06,1,9 ÷ 3,Division,3,3,True,1,13,Easy,
1,2024-01-06,1,9 - 7,Subtraction,2,2,True,1,7,Easy,
1,2024-01-06,1,6 - 4,Subtraction,2,2,True,1,8,Easy,
1,2024-01-08,2,42 ÷ 7,Division,6,0,False,3,28,Easy,wrong_operation
1,2024-01-08,2,9 - 8,Subtraction,1,1,True,1,8,Easy,
1,2024-01-08,2,8 + 5,Addition,13,13,True,1,7,Easy,
1,2024-01-08,2,6 × 9,Multiplication,54,54,True,1,16,Hard,
1,2024-01-08,2,60 ÷ 10,Division,6,5,False,2,18,Easy,off_by_one
1,2024-01-08,2,10 ÷ 2,Division,5,5,True,1,11,Easy,
1,2024-01-08,2,2 × 9,Multiplication,18,81,False,2,22,Easy,digit_reversal
1,2024-01-08,2,12 - 10,Subtraction,2,2,True,1,5,Easy,
1,2024-01-08,2,6 ÷ 3,Division,2,2,True,1,13,Easy,
1,2024-01-11,3,28 ÷ 7,Division,4,4,True,1,11,Easy,
1,2024-01-11,3,3 + 1,Addition,4,4,True,1,7,Easy,
1,2024-01-11,3,10 + 10,Addition,20,20,True,1,9,Easy,
1,2024-01-11,3,8 × 2,Multiplication,16,16,True,1,12,Easy,
1,2024-01-11,3,10 - 7,Subtraction,3,3,True,1,7,Easy,
1,2024-01-11,3,4 + 7,Addition,11,11,True,1,9,Easy,
1,2024-01-11,3,15 - 13,Subtraction,2,2,True,1,9,Easy,
1,2024-01-11,3,17 - 12,Subtraction,5,5,True,1,7,Easy,
1,2024-01-11,3,88 ÷ 11,Division,8,3,False,4,36,Easy,calculation_error
1,2024-01-11,3,11 + 9,Addition,20,2,False,2,16,Easy,digit_reversal
1,2024-01-11,3,5 + 1,Addition,6,6,True,1,8,Easy,
1,2024-01-14,4,14 ÷ 2,Division,7,2,False,3,27,Easy,off_by_five
1,2024-01-14,4,1 + 8,Addition,9,9,True,1,5,Easy,
1,2024-01-14,4,7 - 4,Subtraction,3,3,True,1,9,Easy,
1,2024-01-14,4,4 ÷ 2,Division,2,2,True,1,10,Easy,
1,2024-01-14,4,12 + 10,Addition,22,22,False,4,30,Medium,wrong_operation
1,2024-01-14,4,6 + 8,Addition,14,14,True,1,7,Easy,
1,2024-01-14,4,11 - 11,Subtraction,0,0,True,1,5,Easy,
1,2024-01-14,4,12 + 11,Addition,23,23,True,1,11,Medium,
1,2024-01-17,5,60 ÷ 12,Division,5,5,True,1,11,Easy,
1,2024-01-17,5,4 × 5,Multiplication,20,20,True,1,13,Easy,
1,2024-01-17,5,1 + 8,Addition,9,9,True,1,6,Easy,
1,2024-01-17,5,8 ÷ 2,Division,4,4,True,1,9,Easy,
1,2024-01-17,5,12 - 10,Subtraction,2,2,True,1,8,Easy,
1,2024-01-17,5,99 ÷ 11,Division,9,9,True,1,12,Easy,
1,2024-01-17,5,2 + 1,Addition,3,3,True,1,8,Easy,
1,2024-01-17,5,5 + 11,Addition,16,16,True,1,6,Easy,
1,2024-01-17,5,4 × 4,Multiplication,16,17,False,3,30,Easy,off_by_one
1,2024-01-17,5,2 × 9,Multiplication,18,81,False,3,27,Easy,digit_reversal
1,2024-01-17,5,10 × 3,Multiplication,30,30,True,1,12,Medium,
1,2024-01-19,6,50 ÷ 10,Division,5,5,True,1,9,Easy,
1,2024-01-19,6,10 - 4,Subtraction,6,6,True,1,7,Easy,
1,2024-01-19,6,1 + 12,Addition,13,13,True,1,10,Easy,
1,2024-01-19,6,7 × 9,Multiplication,63,75,False,3,42,Hard,multiplication_error
1,2024-01-19,6,12 ÷ 2,Division,6,6,True,1,11,Easy,
1,2024-01-19,6,36 ÷ 4,Division,9,9,True,1,9,Easy,
1,2024-01-19,6,42 ÷ 6,Division,7,7,True,1,9,Easy,
1,2024-01-19,6,8 + 1,Addition,9,9,True,1,7,Easy,
1,2024-01-19,6,10 ÷ 2,Division,5,5,True,1,13,Easy,
1,2024-01-19,6,16 ÷ 8,Division,2,2,True,1,10,Easy,
1,2024-01-20,7,7 × 11,Multiplication,77,82,False,3,46,Hard,off_by_five
